payment_type,Month,Year,Total_Sales,Total_Orders
not_defined,8,2018,0.00,2
voucher,8,2018,34969.20,295
boleto,8,2018,143805.90,1139
debit_card,8,2018,46001.33,277
credit_card,8,2018,797648.89,4985
boleto,7,2018,198041.24,1229
credit_card,7,2018,803674.49,4755
debit_card,7,2018,44866.18,242
voucher,7,2018,19958.84,281
credit_card,6,2018,811508.56,4813
boleto,6,2018,153350.28,1100
debit_card,6,2018,35672.62,182
voucher,6,2018,23349.04,324
boleto,5,2018,195378.93,1263
credit_card,5,2018,927556.35,5497
voucher,5,2018,21336.13,324
debit_card,5,2018,9710.74,51
debit_card,4,2018,10782.53,97
credit_card,4,2018,934306.00,5455
boleto,4,2018,193547.09,1287
voucher,4,2018,22149.86,370
credit_card,3,2018,933770.10,5691
debit_card,3,2018,8375.11,78
boleto,3,2018,191538.02,1352
voucher,3,2018,25968.89,391
voucher,2,2018,23078.09,305
boleto,2,2018,183112.72,1325
credit_card,2,2018,778803.00,5253
debit_card,2,2018,7469.53,69
credit_card,1,2018,868880.38,5520
voucher,1,2018,29735.59,416
debit_card,1,2018,11543.55,109
boleto,1,2018,204844.66,1518
debit_card,12,2017,7125.34,64
credit_card,12,2017,682859.59,4377
voucher,12,2017,22832.50,294
boleto,12,2017,165584.05,1160
credit_card,11,2017,942856.67,5897
boleto,11,2017,226292.34,1509
voucher,11,2017,19565.69,387
debit_card,11,2017,6168.10,70
boleto,10,2017,140633.45,993
credit_card,10,2017,614327.89,3524
debit_card,10,2017,5776.57,52
voucher,10,2017,18939.97,291
credit_card,9,2017,574484.15,3283
voucher,9,2017,17545.70,287
boleto,9,2017,131042.24,903
debit_card,9,2017,4690.36,43
credit_card,8,2017,521595.69,3284
boleto,8,2017,134289.81,938
voucher,8,2017,15373.98,294
debit_card,8,2017,3136.84,34
boleto,7,2017,116775.48,845
voucher,7,2017,18273.94,364
debit_card,7,2017,2345.03,22
credit_card,7,2017,454988.47,3086
boleto,6,2017,107774.16,707
debit_card,6,2017,2424.17,27
credit_card,6,2017,388268.27,2463
voucher,6,2017,12809.78,239
voucher,5,2017,16195.20,289
credit_card,5,2017,445047.31,2853
debit_card,5,2017,3023.41,30
boleto,5,2017,128652.90,772
credit_card,4,2017,322087.72,1846
debit_card,4,2017,2790.00,27
voucher,4,2017,11603.07,202
boleto,4,2017,81307.24,496
credit_card,3,2017,354488.94,2016
voucher,3,2017,9621.33,200
debit_card,3,2017,3592.80,31
boleto,3,2017,82160.53,590
credit_card,2,2017,226753.56,1356
boleto,2,2017,57476.74,398
debit_card,2,2017,1510.32,13
voucher,2,2017,6167.39,119
voucher,1,2017,4054.40,61
credit_card,1,2017,109615.68,583
debit_card,1,2017,743.53,9
boleto,1,2017,24074.43,197
credit_card,12,2016,19.62,1
debit_card,10,2016,241.73,2
voucher,10,2016,879.07,23
credit_card,10,2016,48290.62,254
boleto,10,2016,9679.06,63
credit_card,9,2016,252.24,3
